Fold,Model,Accuracy,F1-Macro,F1-Weighted,AUC-ROC-Macro,F1_Thick_Glass,F1_Tall_Thin_Glass,F1_Ceramic_Cup,F1_Plastic_Cup
1,Gradient Boosting,0.9094,0.9106,0.911,0.9901,0.8434,0.9457,0.9105,0.9429
1,Logistic Regression,0.8078,0.8169,0.8107,0.9476,0.6869,0.8649,0.7903,0.9255
1,Random Forest,0.8917,0.8936,0.8933,0.985,0.824,0.9278,0.8909,0.9316
2,Gradient Boosting,0.8807,0.8765,0.8802,0.9801,0.7941,0.9372,0.8842,0.8907
2,Logistic Regression,0.8403,0.8393,0.8379,0.9655,0.7597,0.8714,0.8362,0.8898
2,Random Forest,0.8591,0.8523,0.8594,0.9704,0.7652,0.9305,0.8694,0.8442
3,Gradient Boosting,0.8934,0.8629,0.896,0.9768,0.6745,0.962,0.9098,0.9051
3,Logistic Regression,0.8108,0.7816,0.8165,0.9385,0.5446,0.9022,0.8088,0.8706
3,Random Forest,0.8781,0.8483,0.8814,0.9734,0.6479,0.9498,0.8911,0.9043
4,Gradient Boosting,0.8445,0.8432,0.8376,0.975,0.718,0.908,0.8961,0.8505
4,Logistic Regression,0.783,0.7811,0.7767,0.9444,0.6383,0.8251,0.8545,0.8063
4,Random Forest,0.8152,0.8173,0.8062,0.963,0.6692,0.8986,0.8557,0.8458
5,Gradient Boosting,0.8753,0.8661,0.8754,0.9779,0.7664,0.9542,0.8913,0.8523
5,Logistic Regression,0.7731,0.7622,0.7761,0.933,0.6739,0.8524,0.8089,0.7136
5,Random Forest,0.8254,0.8116,0.8222,0.9645,0.6338,0.9415,0.8392,0.8319
