Recording,Cup_Type,Accuracy
1,Thick_Glass,0.6176470588235294
2,Thick_Glass,0.9038461538461539
3,Thick_Glass,0.8775510204081632
4,Thick_Glass,0.7762237762237763
5,Thick_Glass,0.553030303030303
6,Thick_Glass,0.896774193548387
7,Thick_Glass,0.8618421052631579
8,Thick_Glass,0.7039473684210527
9,Thick_Glass,0.7039473684210527
10,Thick_Glass,0.3240223463687151
11,Thick_Glass,0.9459459459459459
12,Thick_Glass,0.7615894039735099
13,Thick_Glass,0.7916666666666666
14,Thick_Glass,0.7006802721088435
15,Thick_Glass,0.903448275862069
16,Tall_Thin_Glass,0.9585492227979274
17,Tall_Thin_Glass,0.8888888888888888
18,Tall_Thin_Glass,0.9222797927461139
19,Tall_Thin_Glass,0.9398907103825137
20,Tall_Thin_Glass,0.9893048128342246
21,Tall_Thin_Glass,0.9387755102040817
22,Tall_Thin_Glass,0.9259259259259259
23,Tall_Thin_Glass,0.8225806451612904
24,Tall_Thin_Glass,0.9585492227979274
25,Tall_Thin_Glass,0.9572192513368984
26,Tall_Thin_Glass,0.9659090909090909
27,Tall_Thin_Glass,0.8969072164948454
28,Tall_Thin_Glass,0.9680851063829787
29,Tall_Thin_Glass,0.9736842105263158
30,Tall_Thin_Glass,0.9611111111111111
31,Ceramic_Cup,0.908
32,Ceramic_Cup,0.9598393574297188
33,Ceramic_Cup,0.7782426778242678
34,Ceramic_Cup,0.9098360655737705
35,Ceramic_Cup,0.8984375
36,Ceramic_Cup,0.888
37,Ceramic_Cup,0.8918918918918919
38,Ceramic_Cup,0.926829268292683
39,Ceramic_Cup,0.9271255060728745
40,Ceramic_Cup,0.854251012145749
41,Ceramic_Cup,0.916
42,Ceramic_Cup,0.9401709401709402
43,Ceramic_Cup,0.8729508196721312
44,Ceramic_Cup,0.922077922077922
45,Ceramic_Cup,0.9556451612903226
46,Plastic_Cup,0.9831932773109243
47,Plastic_Cup,1.0
48,Plastic_Cup,0.9145299145299145
49,Plastic_Cup,0.8256880733944955
50,Plastic_Cup,0.9491525423728814
51,Plastic_Cup,0.9056603773584906
52,Plastic_Cup,0.9150943396226415
53,Plastic_Cup,0.7322834645669292
54,Plastic_Cup,0.9528301886792453
55,Plastic_Cup,0.8703703703703703
56,Plastic_Cup,0.95
57,Plastic_Cup,0.7586206896551724
58,Plastic_Cup,0.983739837398374
59,Plastic_Cup,0.9797979797979798
60,Plastic_Cup,0.8991596638655462
